text,label,response
I feel anxious and cannot sleep before exams,anxiety,听起来你最近压力很大。可以先做 4-7-8 呼吸，并把担心写成清单；如果持续影响睡眠，建议联系学校心理咨询。
I am so sad and do not want to do anything,sadness,你愿意说出来已经很不容易。先给自己一个很小的目标，比如喝水、洗脸或走 5 分钟；如果低落持续或出现伤害自己的想法，请立即寻求专业帮助。
I panic whenever I have to speak in class,anxiety,这种反应很常见，可以从小场景练习：先对镜子说 1 分钟，再给朋友说。发言前用慢呼吸稳定身体。
I feel lonely because no one understands me,loneliness,被孤立的感觉会很难受。试着找一个相对安全的人发出一个小连接，比如约同学一起吃饭或加入兴趣小组。
I am angry at my roommate all the time,anger,愤怒通常在提醒我们边界被触碰。可以先暂停冲突，等情绪下降后用“我感到…因为…我希望…”来表达需求。
My heart races and I think something bad will happen,anxiety,这像是焦虑的身体反应。先把注意力放到脚踩地面的感觉，数出 5 个看到的东西、4 个听到的声音，帮助大脑回到当下。
I failed a test and feel worthless,sadness,一次考试不能定义你的价值。可以把问题拆成可行动的复盘：错题类型、复习方法、下一次的具体计划。
I am stressed by too many deadlines,stress,先把任务按截止时间和重要性排序，只选今天最关键的 1-2 件事完成。完成后给自己一个短休息。
I cannot stop comparing myself with others,self_esteem,比较会放大不足。可以每天记录一件自己完成的小事，把注意力从“别人怎样”拉回“我今天前进了什么”。
I miss my family and feel homesick,loneliness,想家说明你很重视家人。可以固定一个视频通话时间，同时在当地建立一个小 routine，让生活更有稳定感。
I feel guilty for taking a break,stress,休息不是偷懒，是恢复注意力的一部分。可以用番茄钟安排：25 分钟学习 + 5 分钟休息，让休息也成为计划。
I am scared that I might hurt myself,crisis,我很担心你的安全。请立刻联系当地急救电话、校园心理危机热线或身边可信任的人，并尽量不要独处。本系统不能替代专业危机干预。
Sometimes I think life is not worth living,crisis,听到你这么痛苦我很在意。请现在联系当地紧急服务/危机热线，或马上告诉身边可信任的人陪着你。本系统不能处理紧急危机。
I feel nervous about meeting new people,anxiety,社交紧张可以循序渐进。先准备 2 个简单开场问题，比如“你最近在忙什么”，把目标设成完成一次短交流。
I keep overthinking small mistakes,stress,反复想错误会消耗精力。可以问自己：这件事一周后还重要吗？我能做的一个补救行动是什么？然后把注意力转向行动。
I am proud that I finally finished my assignment,positive,太好了！请记下你是如何完成它的：时间安排、遇到困难时的做法。这会成为下次面对压力的证据。
I feel hopeful after talking with a friend,positive,很高兴你获得了支持。可以继续维护这种连接，也把这次有效的支持方式记录下来。
I do not know how to manage my emotions,stress,可以先给情绪命名：焦虑、难过、愤怒或委屈。命名后再选择一个调节动作，如呼吸、散步、写日记或求助。
My parents expect too much from me,stress,期待过高会让人喘不过气。可以整理出你能承诺的部分和需要支持的部分，再找合适时机沟通。
I hate myself when I make mistakes,self_esteem,犯错并不等于你不好。试着把自我评价换成行为评价：不是“我很糟”，而是“这次方法需要调整”。
I get angry when people ignore me,anger,被忽视会让人很受伤。可以先让自己冷静下来，再清楚表达你希望对方怎样回应你。
I feel annoyed and want to shout,anger,想大喊时先暂停 10 秒，做几次深呼吸，再决定是否需要离开现场冷静。
I feel worthless and not good enough,self_esteem,这种自我否定很沉重。试着列出一个事实证据：今天你完成了什么，哪怕很小。
I feel embarrassed after making a mistake,self_esteem,尴尬说明你很在乎表现。把它看作一次反馈，而不是对自己的否定。
